date,concepto,dia_kwh,pct_dia,mes_kwh,pct_mes,anio_kwh,pct_anio,ultimos365_kwh,tipo_dia,tipo_dia_anio_anterior,source,fetched_at,raw_ref
2018-01-05,total_generacion,4193118.495,-94.523,274690285.515,1.55,274690285.515,1.55,22993251398.241,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-05,total_importacion,0,0,0,0,0,0,0,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-05,total_perdidas_transporte,-58655487.34,-697.943,-25007636.602,-174.322,-25007636.602,-174.322,387322745.37,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-06,demanda_distribucion,58825299.79,-6.207,350026479.273,20.201,350026479.273,20.201,21417269074.764,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,exportacion_colombia,4110989.224,128.131,19942322.107,25.967,19942322.107,25.967,235008807.895,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,exportacion_peru,0,0,0,0,0,0,15835543.635,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,generacion_hidraulica,59473904.936,1363.836,295369873.29,25.212,295369873.29,25.212,20126663646.409,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,generacion_motores_bunker,2541016.024,100,9856872.759,34.733,9856872.759,34.733,1045217932.385,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,generacion_otros_tipos,243637.407,87.14,1424523.306,20.632,1424523.306,20.632,124702989.489,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,generacion_turbinas_diesel,218434.123,446440.309,969029.296,29.101,969029.296,29.101,101835179.18,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,generacion_turbinas_gas,2761823.076,-7.107,17935742.753,18.201,17935742.753,18.201,1205549747.614,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,generacion_turbinas_nafta,0,0,0,0,0,0,0,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,generacion_vapor_bunker,8349798.674,100,37896778.028,28.259,37896778.028,28.259,1600847766.212,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,importacion_colombia,6009.198,-85.457,104725.03,6.087,104725.03,6.087,39579096.459,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,importacion_peru,0,0,0,0,0,0,0,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,total_exportacion,4110989.224,0,19942322.107,0,19942322.107,0,250844351.53,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,total_generacion,73588614.24,1654.985,363452819.432,32.314,363452819.432,32.314,24204817261.289,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
