site,river_id,month_day,horizon_days,first_year,last_year,median_m3s
minas_san_francisco,670027091,05-22,7,1940,2023,128.795
agoyan,621014469,05-23,7,1940,2023,352.346
manduriacu,670078161,05-23,7,1940,2023,519.124
minas_san_francisco,670027091,05-23,7,1940,2023,125.485
agoyan,621014469,05-24,7,1940,2023,330.34
manduriacu,670078161,05-24,7,1940,2023,512.5
minas_san_francisco,670027091,05-24,7,1940,2023,123.994
agoyan,621014469,05-25,7,1940,2023,326.873
manduriacu,670078161,05-25,7,1940,2023,522.155
minas_san_francisco,670027091,05-25,7,1940,2023,118.457
agoyan,621014469,05-26,7,1940,2023,323.511
manduriacu,670078161,05-26,7,1940,2023,500.498
minas_san_francisco,670027091,05-26,7,1940,2023,114.492
agoyan,621014469,05-27,7,1940,2023,315.302
manduriacu,670078161,05-27,7,1940,2023,486.596
minas_san_francisco,670027091,05-27,7,1940,2023,113.784
agoyan,621014469,05-28,7,1940,2023,313.305
manduriacu,670078161,05-28,7,1940,2023,476.944
minas_san_francisco,670027091,05-28,7,1940,2023,113.378
agoyan,621014469,05-29,7,1940,2023,304.67
manduriacu,670078161,05-29,7,1940,2023,456.932
minas_san_francisco,670027091,05-29,7,1940,2023,107.13
agoyan,621014469,05-30,7,1940,2023,298.937
manduriacu,670078161,05-30,7,1940,2023,450.986
minas_san_francisco,670027091,05-30,7,1940,2023,106.326
agoyan,621014469,05-31,7,1940,2023,304.548
manduriacu,670078161,05-31,7,1940,2023,454.059
minas_san_francisco,670027091,05-31,7,1940,2023,100.879
agoyan,621014469,06-01,7,1940,2023,298.75
manduriacu,670078161,06-01,7,1940,2023,446.103
minas_san_francisco,670027091,06-01,7,1940,2023,99.743
agoyan,621014469,06-02,7,1940,2023,293.014
manduriacu,670078161,06-02,7,1940,2023,442.369
minas_san_francisco,670027091,06-02,7,1940,2023,98.28
agoyan,621014469,06-03,7,1940,2023,284.225
manduriacu,670078161,06-03,7,1940,2023,442.568
minas_san_francisco,670027091,06-03,7,1940,2023,99.862
agoyan,621014469,06-04,7,1940,2023,280.643
manduriacu,670078161,06-04,7,1940,2023,436.769
minas_san_francisco,670027091,06-04,7,1940,2023,97.755
agoyan,621014469,06-05,7,1940,2023,277.146
manduriacu,670078161,06-05,7,1940,2023,430.358
minas_san_francisco,670027091,06-05,7,1940,2023,96.068
agoyan,621014469,06-06,7,1940,2023,267.711
manduriacu,670078161,06-06,7,1940,2023,435.244
minas_san_francisco,670027091,06-06,7,1940,2023,97.244
agoyan,621014469,06-07,7,1940,2023,265.992
manduriacu,670078161,06-07,7,1940,2023,415.564
minas_san_francisco,670027091,06-07,7,1940,2023,95.804
agoyan,621014469,06-08,7,1940,2023,266.412
manduriacu,670078161,06-08,7,1940,2023,412.275
minas_san_francisco,670027091,06-08,7,1940,2023,92.261
agoyan,621014469,06-09,7,1940,2023,265.754
manduriacu,670078161,06-09,7,1940,2023,402.047
minas_san_francisco,670027091,06-09,7,1940,2023,89.267
agoyan,621014469,06-10,7,1940,2023,260.622
manduriacu,670078161,06-10,7,1940,2023,410.161
minas_san_francisco,670027091,06-10,7,1940,2023,85.547
agoyan,621014469,06-11,7,1940,2023,252.745
manduriacu,670078161,06-11,7,1940,2023,403.678
minas_san_francisco,670027091,06-11,7,1940,2023,86.075
agoyan,621014469,06-12,7,1940,2023,255.007
manduriacu,670078161,06-12,7,1940,2023,393.166
minas_san_francisco,670027091,06-12,7,1940,2023,83.88
agoyan,621014469,06-13,7,1940,2023,256.266
manduriacu,670078161,06-13,7,1940,2023,391.072
minas_san_francisco,670027091,06-13,7,1940,2023,79.262
agoyan,621014469,06-14,7,1940,2023,260.552
manduriacu,670078161,06-14,7,1940,2023,386.513
minas_san_francisco,670027091,06-14,7,1940,2023,78.862
agoyan,621014469,06-15,7,1940,2023,262.981
manduriacu,670078161,06-15,7,1940,2023,382.931
minas_san_francisco,670027091,06-15,7,1940,2023,78.055
agoyan,621014469,06-16,7,1940,2023,255.543
manduriacu,670078161,06-16,7,1940,2023,375.032
minas_san_francisco,670027091,06-16,7,1940,2023,77.671
agoyan,621014469,06-17,7,1940,2023,257.002
manduriacu,670078161,06-17,7,1940,2023,367.794
minas_san_francisco,670027091,06-17,7,1940,2023,78.968
agoyan,621014469,06-18,7,1940,2023,251.387
manduriacu,670078161,06-18,7,1940,2023,366.786
minas_san_francisco,670027091,06-18,7,1940,2023,77.364
agoyan,621014469,06-19,7,1940,2023,237.798
manduriacu,670078161,06-19,7,1940,2023,376.91
minas_san_francisco,670027091,06-19,7,1940,2023,76.732
agoyan,621014469,06-20,7,1940,2023,233.187
manduriacu,670078161,06-20,7,1940,2023,368.13
minas_san_francisco,670027091,06-20,7,1940,2023,77.093
agoyan,621014469,06-21,7,1940,2023,232.537
manduriacu,670078161,06-21,7,1940,2023,357.664
minas_san_francisco,670027091,06-21,7,1940,2023,76.129
agoyan,621014469,06-22,7,1940,2023,230.798
manduriacu,670078161,06-22,7,1940,2023,354.5
minas_san_francisco,670027091,06-22,7,1940,2023,74.961
